	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 3.c3d
	FP3	FP3	FP3	FP3	FP3	FP3	FP3	FP3	FP3
	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	X	Y	Z	X	Y	Z	X	Y	Z
1015	-0.0	-0.2	1.3	-3.2	-26.6	39.0	-0.0	-0.1	2.2
1016	-0.0	-0.2	1.3	-3.2	-28.4	48.5	-0.0	-0.1	2.2
1017	-0.0	-0.2	1.4	-3.3	-30.2	58.6	-0.0	-0.0	2.2
1018	-0.0	-0.2	1.4	-3.3	-32.1	69.3	-0.0	-0.0	2.2
1019	-0.0	-0.2	1.5	-3.3	-34.0	80.6	-0.0	0.0	2.2
1020	-0.0	-0.2	1.5	-3.3	-36.0	92.5	-0.0	0.0	2.2
1021	-0.0	-0.2	1.6	-3.3	-38.1	105.1	-0.0	0.0	2.2
1022	-0.0	-0.2	1.6	-3.3	-40.1	118.4	0.0	0.1	2.2
1023	-0.0	-0.2	1.7	-3.3	-42.3	132.3	0.0	0.1	2.2
1024	-0.0	-0.2	1.7	-3.2	-44.5	147.0	0.0	0.1	2.1
1025	-0.0	-0.2	1.8	-3.2	-46.7	162.3	0.0	0.2	2.1
1026	-0.0	-0.2	1.8	-3.1	-48.9	178.4	0.0	0.2	2.0
1027	-0.0	-0.2	1.8	-3.1	-51.2	195.1	0.1	0.2	1.9
1028	-0.0	-0.2	1.9	-3.0	-53.5	212.7	0.1	0.3	1.9
1029	-0.0	-0.1	1.9	-2.9	-55.9	230.9	0.1	0.3	1.8
1030	-0.0	-0.1	1.9	-2.8	-58.3	249.9	0.1	0.3	1.7
1031	-0.0	-0.1	2.0	-2.6	-60.7	269.7	0.1	0.4	1.6
1032	-0.0	-0.1	2.0	-2.5	-63.1	290.2	0.1	0.4	1.4
1033	-0.0	-0.1	2.0	-2.3	-65.5	311.4	0.1	0.5	1.3
1034	-0.0	-0.1	2.0	-2.1	-67.9	333.4	0.2	0.5	1.1
1035	-0.0	-0.1	2.0	-1.9	-70.3	356.2	0.2	0.6	1.0
1036	-0.0	-0.1	2.0	-1.7	-72.6	379.7	0.2	0.6	0.8
1037	-0.0	-0.1	2.0	-1.4	-75.0	403.9	0.2	0.7	0.6
1038	-0.0	-0.0	2.0	-1.2	-77.3	428.8	0.2	0.7	0.4
1039	0.0	-0.0	2.0	-0.9	-79.6	454.4	0.3	0.8	0.1
1040	0.0	-0.0	2.0	-0.5	-81.8	480.7	0.3	0.8	-0.1
1041	0.0	0.0	2.0	-0.2	-84.0	507.6	0.3	0.9	-0.4
1042	0.0	0.0	1.9	0.2	-86.1	535.2	0.3	1.0	-0.7
1043	0.0	0.1	1.9	0.6	-88.1	563.4	0.4	1.0	-1.0
1044	0.0	0.1	1.8	1.0	-90.1	592.1	0.4	1.1	-1.4
1045	0.0	0.1	1.8	1.5	-91.9	621.4	0.4	1.2	-1.7
1046	0.1	0.2	1.7	2.0	-93.6	651.2	0.4	1.3	-2.1
1047	0.1	0.2	1.6	2.5	-95.2	681.4	0.5	1.3	-2.5
1048	0.1	0.2	1.5	3.1	-96.7	712.1	0.5	1.4	-2.9
1049	0.1	0.3	1.4	3.7	-98.0	743.1	0.5	1.5	-3.4
1050	0.1	0.3	1.3	4.3	-99.1	774.5	0.6	1.6	-3.9
1051	0.1	0.3	1.2	5.0	-100.1	806.2	0.6	1.7	-4.4
1052	0.1	0.4	1.1	5.7	-101.0	838.1	0.6	1.8	-4.9
1053	0.1	0.4	0.9	6.4	-101.6	870.2	0.7	1.9	-5.5
1054	0.1	0.5	0.7	7.2	-102.1	902.5	0.7	2.0	-6.0
1055	0.2	0.5	0.5	8.0	-102.5	935.0	0.7	2.0	-6.7
1056	0.2	0.6	0.3	8.8	-102.6	967.4	0.8	2.1	-7.3
1057	0.2	0.6	0.1	9.7	-102.6	1000.0	0.8	2.2	-8.0
1058	0.2	0.7	-0.1	10.6	-102.5	1032.5	0.9	2.3	-8.7
1059	0.2	0.8	-0.4	11.5	-102.2	1065.0	0.9	2.4	-9.4
1060	0.2	0.8	-0.6	12.5	-101.7	1097.5	0.9	2.5	-10.2
1061	0.2	0.9	-0.9	13.6	-101.2	1129.8	1.0	2.6	-10.9
1062	0.3	0.9	-1.2	14.6	-100.5	1162.0	1.0	2.7	-11.8
1063	0.3	1.0	-1.6	15.8	-99.8	1194.1	1.1	2.8	-12.6
1064	0.3	1.1	-1.9	16.9	-98.9	1226.0	1.1	2.9	-13.5
1065	0.3	1.2	-2.3	18.1	-98.0	1257.6	1.1	3.0	-14.4
1066	0.3	1.2	-2.7	19.3	-97.0	1289.0	1.2	3.1	-15.3
1067	0.4	1.3	-3.1	20.6	-96.0	1320.1	1.2	3.2	-16.3
1068	0.4	1.4	-3.6	21.9	-94.9	1350.9	1.3	3.3	-17.2
1069	0.4	1.5	-4.0	23.2	-93.8	1381.4	1.3	3.4	-18.3
1070	0.4	1.6	-4.5	24.6	-92.7	1411.4	1.3	3.5	-19.3
1071	0.4	1.7	-5.0	26.0	-91.5	1441.1	1.4	3.6	-20.4
1072	0.5	1.8	-5.6	27.4	-90.3	1470.4	1.4	3.6	-21.4
1073	0.5	1.9	-6.1	28.9	-89.1	1499.2	1.4	3.7	-22.5
1074	0.5	1.9	-6.7	30.4	-87.9	1527.5	1.5	3.8	-23.7
1075	0.5	2.0	-7.3	31.9	-86.7	1555.4	1.5	3.9	-24.8
1076	0.6	2.1	-8.0	33.4	-85.5	1582.7	1.6	3.9	-26.0
1077	0.6	2.2	-8.7	35.0	-84.3	1609.5	1.6	4.0	-27.2
1078	0.6	2.3	-9.4	36.5	-83.0	1635.7	1.6	4.0	-28.4
1079	0.6	2.4	-10.1	38.1	-81.8	1661.3	1.6	4.1	-29.6
1080	0.6	2.5	-10.8	39.7	-80.6	1686.3	1.7	4.1	-30.8
1081	0.7	2.7	-11.6	41.3	-79.3	1710.7	1.7	4.1	-32.0
1082	0.7	2.8	-12.4	43.0	-78.1	1734.5	1.7	4.1	-33.2
1083	0.7	2.9	-13.3	44.6	-76.9	1757.6	1.7	4.1	-34.5
1084	0.7	3.0	-14.1	46.2	-75.7	1780.0	1.7	4.1	-35.7
1085	0.8	3.1	-15.0	47.8	-74.5	1801.8	1.7	4.1	-36.9
1086	0.8	3.2	-15.9	49.4	-73.3	1822.8	1.7	4.1	-38.1
1087	0.8	3.3	-16.9	50.9	-72.1	1843.2	1.7	4.0	-39.3
1088	0.8	3.4	-17.8	52.5	-70.9	1862.9	1.7	4.0	-40.5
1089	0.8	3.5	-18.8	54.0	-69.8	1881.8	1.7	3.9	-41.6
1090	0.9	3.6	-19.8	55.5	-68.7	1900.0	1.7	3.8	-42.7
1091	0.9	3.7	-20.8	56.9	-67.6	1917.4	1.6	3.7	-43.8
1092	0.9	3.8	-21.9	58.3	-66.6	1934.1	1.6	3.5	-44.8
1093	0.9	3.9	-22.9	59.6	-65.7	1950.0	1.6	3.4	-45.8
1094	0.9	3.9	-24.0	60.9	-64.7	1965.1	1.5	3.2	-46.8
1095	1.0	4.0	-25.1	62.2	-63.9	1979.5	1.5	3.0	-47.6
1096	1.0	4.1	-26.2	63.3	-63.0	1993.1	1.4	2.8	-48.4
1097	1.0	4.2	-27.4	64.4	-62.3	2005.9	1.3	2.5	-49.2
1098	1.0	4.2	-28.5	65.5	-61.6	2017.8	1.2	2.2	-49.8
1099	1.0	4.3	-29.6	66.5	-61.0	2029.0	1.2	1.9	-50.4
1100	1.0	4.3	-30.8	67.4	-60.5	2039.4	1.1	1.6	-50.8
1101	1.0	4.4	-31.9	68.2	-60.0	2049.0	0.9	1.2	-51.2
1102	1.0	4.4	-33.0	68.9	-59.7	2057.8	0.8	0.9	-51.4
1103	1.0	4.4	-34.2	69.6	-59.4	2065.7	0.7	0.4	-51.5
1104	1.0	4.4	-35.3	70.2	-59.2	2072.9	0.5	-0.0	-51.4
1105	1.0	4.4	-36.4	70.7	-59.0	2079.4	0.4	-0.5	-51.3
1106	1.0	4.4	-37.5	71.2	-59.0	2085.1	0.2	-1.1	-50.9
1107	0.9	4.4	-38.5	71.6	-59.0	2090.0	-0.0	-1.6	-50.4
1108	0.9	4.3	-39.6	71.9	-59.1	2094.2	-0.2	-2.2	-49.7
1109	0.9	4.2	-40.6	72.1	-59.3	2097.7	-0.4	-2.9	-48.8
1110	0.9	4.2	-41.5	72.2	-59.5	2100.6	-0.7	-3.6	-47.7
1111	0.8	4.1	-42.5	72.3	-59.9	2102.7	-0.9	-4.3	-46.4
1112	0.8	4.0	-43.3	72.4	-60.2	2104.3	-1.2	-5.1	-44.8
1113	0.7	3.8	-44.2	72.3	-60.7	2105.3	-1.5	-5.9	-43.0
1114	0.7	3.7	-44.9	72.2	-61.2	2105.7	-1.8	-6.7	-41.0
1115	0.6	3.5	-45.6	72.0	-61.7	2105.5	-2.1	-7.7	-38.6
1116	0.6	3.3	-46.2	71.8	-62.3	2104.9	-2.4	-8.6	-36.0
1117	0.5	3.0	-46.7	71.5	-62.9	2103.8	-2.8	-9.6	-33.1
1118	0.4	2.8	-47.2	71.2	-63.5	2102.3	-3.2	-10.7	-29.8
1119	0.3	2.5	-47.5	70.8	-64.2	2100.3	-3.6	-11.8	-26.3
1120	0.3	2.2	-47.7	70.4	-64.9	2098.0	-4.0	-13.0	-22.3
1121	0.2	1.9	-47.8	69.9	-65.7	2095.4	-4.4	-14.2	-18.1
1122	0.1	1.5	-47.8	69.4	-66.4	2092.4	-4.9	-15.4	-13.4
1123	-0.1	1.1	-47.6	68.9	-67.2	2089.1	-5.4	-16.8	-8.3
1124	-0.2	0.6	-47.3	68.4	-68.0	2085.6	-5.9	-18.1	-2.8
1125	-0.3	0.2	-46.9	67.8	-68.7	2081.8	-6.4	-19.6	3.1
1126	-0.5	-0.3	-46.2	67.2	-69.5	2077.8	-7.0	-21.1	9.4
1127	-0.6	-0.9	-45.4	66.6	-70.3	2073.6	-7.5	-22.6	16.2
1128	-0.8	-1.5	-44.4	65.9	-71.1	2069.2	-8.1	-24.2	23.5
1129	-0.9	-2.1	-43.2	65.3	-71.9	2064.6	-8.8	-25.8	31.3
1130	-1.1	-2.8	-41.8	64.6	-72.7	2059.8	-9.4	-27.5	39.5
1131	-1.3	-3.5	-40.1	63.9	-73.5	2054.8	-10.1	-29.3	48.3
1132	-1.5	-4.3	-38.3	63.2	-74.3	2049.7	-10.7	-31.1	57.7
1133	-1.7	-5.1	-36.1	62.5	-75.1	2044.3	-11.5	-32.9	67.6
1134	-2.0	-5.9	-33.7	61.7	-75.9	2038.8	-12.2	-34.8	78.0
1135	-2.2	-6.8	-31.0	61.0	-76.8	2033.0	-12.9	-36.8	89.1
1136	-2.4	-7.8	-28.0	60.2	-77.6	2027.1	-13.7	-38.8	100.7
1137	-2.7	-8.8	-24.8	59.4	-78.4	2020.9	-14.5	-40.8	113.0
1138	-3.0	-9.8	-21.1	58.6	-79.3	2014.3	-15.3	-42.9	125.8
1139	-3.3	-10.9	-17.2	57.8	-80.2	2007.5	-16.1	-45.0	139.3
1140	-3.6	-12.1	-12.9	56.9	-81.1	2000.4	-17.0	-47.2	153.4
1141	-3.9	-13.3	-8.2	56.0	-82.0	1992.8	-17.8	-49.3	168.2
1142	-4.2	-14.6	-3.2	55.0	-83.0	1984.9	-18.7	-51.5	183.6
1143	-4.5	-15.9	2.2	54.0	-84.0	1976.4	-19.6	-53.8	199.7
1144	-4.9	-17.3	8.1	53.0	-85.1	1967.4	-20.5	-56.0	216.5
1145	-5.3	-18.8	14.4	51.8	-86.3	1957.8	-21.4	-58.3	233.9
1146	-5.6	-20.3	21.1	50.7	-87.5	1947.5	-22.4	-60.6	252.1
1147	-6.0	-21.8	28.2	49.4	-88.7	1936.5	-23.3	-62.8	270.8
1148	-6.4	-23.4	35.9	48.1	-90.1	1924.6	-24.3	-65.1	290.3
1149	-6.8	-25.1	44.0	46.6	-91.6	1911.9	-25.2	-67.4	310.4
1150	-7.3	-26.8	52.6				-26.2	-69.6	331.2
1151	-7.7	-28.6	61.8				-27.1	-71.8	352.7
1152	-8.2	-30.5	71.4				-28.0	-74.0	374.8
1153	-8.6	-32.4	81.6				-29.0	-76.2	397.5
1154	-9.1	-34.3	92.4				-29.9	-78.3	420.9
1155	-9.6	-36.3	103.7				-30.8	-80.3	444.8
1156	-10.1	-38.4	115.6				-31.7	-82.3	469.3
1157	-10.6	-40.5	128.0				-32.6	-84.1	494.4
1158	-11.1	-42.6	141.1				-33.4	-85.9	520.0
1159	-11.6	-44.8	154.7				-34.3	-87.6	546.1
1160	-12.2	-47.1	169.0				-35.0	-89.2	572.7
1161	-12.7	-49.4	183.9				-35.8	-90.6	599.7
1162	-13.2	-51.7	199.4				-36.5	-91.9	627.1
1163	-13.8	-54.0	215.5				-37.2	-93.1	654.8
1164	-14.3	-56.4	232.3				-37.8	-94.1	682.9
1165	-14.9	-58.8	249.7				-38.4	-95.0	711.2
1166	-15.4	-61.2	267.7				-38.9	-95.6	739.8
1167	-16.0	-63.6	286.3				-39.4	-96.2	768.7
1168	-16.5	-66.0	305.5				-39.8	-96.5	797.6
1169	-17.1	-68.5	325.4				-40.2	-96.6	826.7
1170	-17.6	-70.9	345.9				-40.5	-96.6	855.9
1171	-18.1	-73.3	366.9				-40.7	-96.4	885.2
1172	-18.6	-75.7	388.5				-40.9	-96.0	914.5
1173	-19.1	-78.0	410.7				-41.0	-95.5	943.8
1174	-19.6	-80.3	433.4				-41.0	-94.8	973.1
1175	-20.1	-82.6	456.7				-41.0	-94.0	1002.3
1176	-20.5	-84.8	480.4				-40.8	-93.0	1031.5
1177	-20.9	-86.9	504.6				-40.6	-91.8	1060.6
1178	-21.3	-89.0	529.3				-40.4	-90.6	1089.6
1179	-21.7	-90.9	554.4				-40.0	-89.3	1118.4
1180	-22.1	-92.8	579.9				-39.6	-87.8	1147.2
1181	-22.4	-94.6	605.7				-39.1	-86.3	1175.8
1182	-22.6	-96.3	631.9				-38.5	-84.7	1204.2
1183	-22.9	-97.9	658.4				-37.8	-83.1	1232.4
1184	-23.1	-99.4	685.2				-37.0	-81.4	1260.5
1185	-23.2	-100.8	712.3				-36.2	-79.6	1288.3
1186	-23.4	-102.0	739.6				-35.3	-77.8	1315.9
1187	-23.4	-103.1	767.1				-34.3	-76.0	1343.2
1188	-23.5	-104.2	794.8				-33.2	-74.1	1370.3
1189	-23.4	-105.1	822.6				-32.0	-72.2	1397.1
1190	-23.3	-105.9	850.6				-30.8	-70.2	1423.7
1191	-23.2	-106.7	878.6				-29.4	-68.2	1449.9
1192	-23.0	-107.3	906.8				-28.0	-66.2	1475.8
1193	-22.7	-107.9	935.0				-26.5	-64.1	1501.4
1194	-22.4	-108.4	963.2				-24.9	-62.0	1526.6
1195	-22.0	-108.8	991.4				-23.2	-59.9	1551.5
1196	-21.5	-109.2	1019.7				-21.5	-57.7	1576.0
1197	-21.0	-109.5	1047.9				-19.6	-55.5	1600.1
1198	-20.4	-109.7	1076.0				-17.7	-53.2	1623.8
1199	-19.8	-110.0	1104.1				-15.7	-50.9	1647.1
1200	-19.0	-110.2	1132.1				-13.6	-48.5	1670.0
1201	-18.2	-110.4	1160.0				-11.4	-46.1	1692.4
1202	-17.4	-110.6	1187.8				-9.2	-43.6	1714.4
1203	-16.4	-110.8	1215.4				-6.9	-41.2	1735.9
1204	-15.4	-111.0	1242.8				-4.5	-38.6	1757.0
1205	-14.3	-111.1	1270.0				-2.1	-36.1	1777.5
1206	-13.2	-111.3	1297.1				0.4	-33.5	1797.5
1207	-12.0	-111.5	1323.8				2.9	-31.0	1816.9
1208	-10.7	-111.7	1350.4				5.4	-28.4	1835.8
1209	-9.4	-111.8	1376.6				8.0	-25.8	1854.0
1210	-8.0	-112.0	1402.6				10.5	-23.3	1871.6
1211	-6.6	-112.1	1428.3				13.1	-20.7	1888.6
1212	-5.1	-112.3	1453.6				15.7	-18.3	1904.9
1213	-3.5	-112.4	1478.6				18.2	-15.8	1920.5
1214	-1.9	-112.5	1503.2				20.8	-13.5	1935.3
1215	-0.3	-112.5	1527.4				23.3	-11.2	1949.4
1216	1.4	-112.6	1551.3				25.7	-9.0	1962.6
1217	3.1	-112.6	1574.7				28.1	-6.9	1975.0
1218	4.9	-112.5	1597.7				30.4	-4.9	1986.6
1219	6.7	-112.4	1620.3				32.7	-3.1	1997.3
1220	8.5	-112.3	1642.4				34.8	-1.4	2007.1
1221	10.4	-112.1	1664.0				36.9	0.1	2016.1
1222	12.2	-111.9	1685.2				38.9	1.5	2024.1
1223	14.1	-111.6	1705.9				40.8	2.7	2031.1
1224	16.0	-111.3	1726.0				42.5	3.7	2037.3
1225	17.8	-110.9	1745.7				44.1	4.6	2042.5
1226	19.7	-110.5	1764.8				45.6	5.2	2046.8
1227	21.6	-110.0	1783.4				47.0	5.7	2050.3
1228	23.4	-109.4	1801.5				48.3	6.0	2052.8
1229	25.2	-108.8	1819.0				49.4	6.2	2054.5
1230	27.0	-108.2	1835.9				50.4	6.1	2055.4
1231	28.8	-107.5	1852.2				51.2	5.9	2055.5
1232	30.5	-106.7	1868.0				52.0	5.6	2054.8
1233	32.1	-106.0	1883.2				52.6	5.1	2053.3
1234	33.8	-105.1	1897.7				53.0	4.4	2051.2
1235	35.3	-104.3	1911.7				53.4	3.6	2048.5
1236	36.8	-103.4	1925.0				53.6	2.7	2045.2
1237	38.3	-102.5	1937.7				53.7	1.7	2041.3
1238	39.7	-101.5	1949.8				53.7	0.6	2036.9
1239	41.0	-100.6	1961.2				53.6	-0.5	2032.0
1240	42.3	-99.6	1972.0				53.4	-1.7	2026.8
1241	43.5	-98.6	1982.2				53.1	-3.0	2021.2
1242	44.6	-97.7	1991.7				52.8	-4.4	2015.2
1243	45.6	-96.7	2000.6				52.3	-5.7	2009.0
1244	46.6	-95.8	2008.9				51.8	-7.1	2002.6
1245	47.5	-94.8	2016.5				51.2	-8.5	1995.9
1246	48.4	-93.9	2023.5				50.6	-9.8	1989.1
1247	49.2	-93.1	2030.0				49.9	-11.2	1982.2
1248	49.9	-92.2	2035.8				49.1	-12.6	1975.1
1249	50.5	-91.5	2041.0				48.3	-13.9	1968.0
1250	51.1	-90.7	2045.6				47.5	-15.3	1960.8
1251	51.6	-90.0	2049.7				46.6	-16.6	1953.6
1252	52.0	-89.4	2053.2				45.7	-17.8	1946.3
1253	52.4	-88.8	2056.2				44.8	-19.1	1939.1
1254	52.8	-88.2	2058.6				43.8	-20.3	1931.7
1255	53.0	-87.7	2060.5				42.8	-21.5	1924.4
1256	53.2	-87.3	2062.0				41.7	-22.6	1917.1
1257	53.4	-87.0	2062.9				40.7	-23.8	1909.6
1258	53.5	-86.6	2063.4				39.5	-24.9	1902.2
1259	53.6	-86.4	2063.5				38.4	-26.0	1894.6
1260	53.6	-86.2	2063.1				37.2	-27.1	1886.9
1261	53.5	-86.1	2062.3				36.0	-28.1	1879.0
1262	53.5	-86.0	2061.0				34.7	-29.2	1870.9
1263	53.3	-86.0	2059.4				33.4	-30.3	1862.6
1264	53.2	-86.0	2057.3				32.0	-31.4	1854.0
1265	53.0	-86.1	2054.9				30.6	-32.5	1845.0
1266	52.7	-86.2	2052.1				29.1	-33.6	1835.6
1267	52.4	-86.4	2048.8				27.5	-34.8	1825.6
1268	52.1	-86.6	2045.2				25.8	-36.0	1815.1
1269	51.7	-86.9	2041.1				24.0	-37.3	1804.0
1270	51.3	-87.2	2036.7				22.0	-38.6	1792.1
1271	50.9	-87.6	2031.8				20.0	-40.1	1779.4
1272	50.4	-88.0	2026.4				17.8	-41.6	1765.8
1273	49.9	-88.5	2020.6						
1274	49.3	-89.0	2014.2						
1275	48.7	-89.6	2007.3						
1276	48.0	-90.2	1999.9						
1277	47.2	-90.8	1991.8						
1278	46.5	-91.5	1983.1						
