	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTL 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTL 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTL 1.c3d
	FP3	FP3	FP3
	FORCE	FORCE	FORCE
	PROCESSED	PROCESSED	PROCESSED
ITEM	X	Y	Z
267	3.7	0.5	738.6
268	3.6	0.4	738.7
269	3.4	0.2	738.9
270	3.3	0.1	739.0
271	3.2	-0.0	739.2
272	3.0	-0.1	739.3
273	2.9	-0.3	739.5
274	2.8	-0.4	739.7
275	2.6	-0.6	739.8
276	2.5	-0.7	740.0
277	2.4	-0.9	740.1
278	2.2	-1.0	740.3
279	2.1	-1.2	740.4
280	2.0	-1.3	740.6
281	1.9	-1.5	740.8
282	1.8	-1.6	740.9
283	1.7	-1.8	741.0
284	1.6	-1.9	741.2
285	1.5	-2.1	741.3
286	1.4	-2.2	741.5
287	1.3	-2.4	741.6
288	1.2	-2.6	741.7
289	1.1	-2.7	741.9
290	1.0	-2.9	742.0
291	0.9	-3.0	742.1
292	0.8	-3.1	742.3
293	0.7	-3.3	742.4
294	0.7	-3.4	742.5
295	0.6	-3.6	742.6
296	0.5	-3.7	742.7
297	0.4	-3.8	742.9
298	0.3	-3.9	743.0
299	0.3	-4.1	743.1
300	0.2	-4.2	743.2
301	0.1	-4.3	743.3
302	0.1	-4.4	743.4
303	0.0	-4.5	743.5
304	-0.0	-4.6	743.6
305	-0.1	-4.7	743.7
306	-0.2	-4.7	743.8
307	-0.2	-4.8	743.9
308	-0.3	-4.9	743.9
309	-0.3	-5.0	744.0
310	-0.3	-5.0	744.1
311	-0.4	-5.1	744.2
312	-0.4	-5.1	744.2
313	-0.5	-5.2	744.3
314	-0.5	-5.2	744.4
315	-0.5	-5.3	744.4
316	-0.5	-5.3	744.5
317	-0.6	-5.3	744.5
318	-0.6	-5.3	744.6
319	-0.6	-5.4	744.6
320	-0.6	-5.4	744.7
321	-0.6	-5.4	744.7
322	-0.6	-5.4	744.7
323	-0.6	-5.4	744.7
324	-0.6	-5.4	744.8
325	-0.6	-5.4	744.8
326	-0.6	-5.3	744.8
327	-0.6	-5.3	744.8
328	-0.6	-5.3	744.8
329	-0.6	-5.3	744.8
330	-0.6	-5.3	744.8
331	-0.6	-5.2	744.7
332	-0.5	-5.2	744.7
333	-0.5	-5.2	744.7
334	-0.5	-5.1	744.7
335	-0.5	-5.1	744.6
336	-0.4	-5.0	744.6
337	-0.4	-5.0	744.5
338	-0.4	-4.9	744.5
339	-0.3	-4.9	744.4
340	-0.3	-4.8	744.4
341	-0.3	-4.8	744.3
342	-0.3	-4.7	744.3
343	-0.2	-4.7	744.2
344	-0.2	-4.6	744.2
345	-0.2	-4.6	744.1
346	-0.1	-4.5	744.1
347	-0.1	-4.5	744.0
348	-0.1	-4.4	743.9
349	-0.0	-4.3	743.9
350	-0.0	-4.3	743.8
351	0.0	-4.2	743.8
352	0.0	-4.2	743.7
353	0.1	-4.1	743.7
354	0.1	-4.1	743.7
355	0.1	-4.0	743.6
356	0.1	-3.9	743.6
357	0.1	-3.9	743.6
358	0.1	-3.8	743.5
359	0.1	-3.8	743.5
360	0.2	-3.8	743.5
361	0.2	-3.7	743.5
362	0.2	-3.7	743.5
363	0.2	-3.6	743.6
364	0.1	-3.6	743.6
365	0.1	-3.6	743.6
366	0.1	-3.5	743.7
367	0.1	-3.5	743.7
368	0.1	-3.5	743.8
369	0.1	-3.5	743.8
370	0.0	-3.5	743.9
371	0.0	-3.5	744.0
372	-0.0	-3.4	744.1
373	-0.0	-3.4	744.2
374	-0.1	-3.5	744.3
375	-0.1	-3.5	744.5
376	-0.2	-3.5	744.6
377	-0.2	-3.5	744.8
378	-0.3	-3.5	744.9
379	-0.3	-3.6	745.1
380	-0.4	-3.6	745.3
381	-0.4	-3.6	745.4
382	-0.5	-3.7	745.6
383	-0.6	-3.7	745.8
384	-0.6	-3.8	746.1
385	-0.7	-3.9	746.3
386	-0.8	-3.9	746.5
387	-0.9	-4.0	746.7
388	-0.9	-4.1	747.0
389	-1.0	-4.2	747.2
390	-1.1	-4.3	747.5
391	-1.2	-4.4	747.7
392	-1.3	-4.5	748.0
393	-1.4	-4.6	748.3
394	-1.5	-4.7	748.5
395	-1.6	-4.8	748.8
396	-1.7	-4.9	749.1
397	-1.8	-5.1	749.4
398	-1.9	-5.2	749.6
399	-2.0	-5.3	749.9
400	-2.1	-5.5	750.2
401	-2.2	-5.6	750.5
402	-2.3	-5.8	750.8
403	-2.4	-5.9	751.0
404	-2.5	-6.1	751.3
405	-2.6	-6.2	751.6
406	-2.7	-6.4	751.9
407	-2.8	-6.5	752.2
408	-2.9	-6.7	752.4
409	-3.0	-6.8	752.7
410	-3.1	-7.0	753.0
411	-3.2	-7.1	753.2
412	-3.3	-7.3	753.5
413	-3.4	-7.5	753.7
414	-3.5	-7.6	754.0
415	-3.6	-7.8	754.2
416	-3.7	-7.9	754.5
417	-3.8	-8.1	754.7
418	-3.9	-8.2	754.9
419	-4.0	-8.4	755.2
420	-4.1	-8.5	755.4
421	-4.1	-8.7	755.6
422	-4.2	-8.8	755.8
423	-4.3	-8.9	756.0
424	-4.4	-9.1	756.2
425	-4.5	-9.2	756.4
426	-4.6	-9.3	756.6
427	-4.6	-9.5	756.8
428	-4.7	-9.6	757.0
429	-4.8	-9.7	757.1
430	-4.9	-9.8	757.3
431	-4.9	-10.0	757.5
432	-5.0	-10.1	757.7
433	-5.0	-10.2	757.8
434	-5.1	-10.3	758.0
435	-5.1	-10.4	758.1
436	-5.2	-10.5	758.3
437	-5.2	-10.6	758.4
438	-5.3	-10.7	758.6
439	-5.3	-10.8	758.7
440	-5.3	-10.9	758.8
441	-5.4	-11.0	759.0
442	-5.4	-11.1	759.1
443	-5.4	-11.2	759.2
444	-5.4	-11.3	759.3
445	-5.4	-11.4	759.5
446	-5.5	-11.5	759.6
447	-5.5	-11.6	759.7
448	-5.5	-11.7	759.8
449	-5.4	-11.8	759.9
450	-5.4	-11.9	760.0
451	-5.4	-12.0	760.1
452	-5.4	-12.1	760.1
453	-5.4	-12.2	760.2
454	-5.3	-12.3	760.3
455	-5.3	-12.3	760.3
456	-5.3	-12.4	760.4
457	-5.2	-12.5	760.4
458	-5.2	-12.6	760.5
459	-5.1	-12.7	760.5
460	-5.1	-12.8	760.5
461	-5.0	-12.9	760.5
462	-4.9	-13.0	760.5
463	-4.8	-13.0	760.5
464	-4.8	-13.1	760.5
465	-4.7	-13.2	760.4
466	-4.6	-13.3	760.4
467	-4.5	-13.4	760.3
468	-4.4	-13.5	760.2
469	-4.2	-13.6	760.2
470	-4.1	-13.6	760.1
471	-4.0	-13.7	759.9
472	-3.9	-13.8	759.8
473	-3.7	-13.9	759.7
474	-3.6	-14.0	759.5
475	-3.4	-14.0	759.3
476	-3.3	-14.1	759.1
477	-3.1	-14.2	758.9
478	-3.0	-14.3	758.7
479	-2.8	-14.3	758.4
480	-2.6	-14.4	758.2
481	-2.4	-14.5	757.9
482	-2.3	-14.5	757.6
483	-2.1	-14.6	757.3
484	-1.9	-14.6	757.0
485	-1.7	-14.7	756.6
486	-1.5	-14.8	756.2
487	-1.2	-14.8	755.9
488	-1.0	-14.9	755.5
489	-0.8	-14.9	755.0
490	-0.6	-15.0	754.6
491	-0.4	-15.0	754.2
492	-0.1	-15.0	753.7
493	0.1	-15.1	753.2
494	0.3	-15.1	752.7
495	0.6	-15.2	752.2
496	0.8	-15.2	751.7
497	1.1	-15.2	751.2
498	1.3	-15.2	750.6
499	1.6	-15.3	750.1
500	1.8	-15.3	749.5
501	2.1	-15.3	748.9
502	2.3	-15.3	748.3
503	2.6	-15.3	747.7
504	2.8	-15.4	747.1
505	3.1	-15.4	746.5
506	3.3	-15.4	745.9
507	3.6	-15.4	745.2
508	3.8	-15.4	744.6
509	4.1	-15.4	744.0
510	4.3	-15.4	743.3
511	4.6	-15.4	742.7
512	4.8	-15.4	742.0
513	5.0	-15.4	741.4
514	5.2	-15.4	740.7
515	5.5	-15.4	740.1
516	5.7	-15.4	739.4
517	5.9	-15.4	738.8
518	6.1	-15.4	738.1
519	6.3	-15.4	737.5
520	6.5	-15.4	736.9
521	6.7	-15.4	736.2
522	6.9	-15.4	735.6
523	7.0	-15.4	735.0
524	7.2	-15.4	734.4
525	7.3	-15.4	733.7
526	7.5	-15.4	733.1
527	7.6	-15.4	732.5
528	7.7	-15.4	732.0
529	7.8	-15.4	731.4
530	8.0	-15.4	730.8
531	8.0	-15.4	730.3
532	8.1	-15.4	729.7
533	8.2	-15.3	729.2
534	8.3	-15.3	728.7
535	8.3	-15.3	728.2
536	8.4	-15.3	727.7
537	8.4	-15.3	727.2
538	8.4	-15.3	726.7
539	8.5	-15.3	726.3
540	8.5	-15.3	725.8
541	8.5	-15.3	725.4
542	8.4	-15.3	725.0
543	8.4	-15.3	724.6
544	8.4	-15.3	724.2
545	8.3	-15.2	723.9
546	8.3	-15.2	723.5
547	8.2	-15.2	723.2
548	8.2	-15.2	722.9
549	8.1	-15.2	722.6
550	8.0	-15.2	722.3
551	7.9	-15.2	722.1
552	7.8	-15.2	721.9
553	7.7	-15.2	721.7
554	7.6	-15.2	721.5
555	7.4	-15.2	721.3
556	7.3	-15.2	721.2
557	7.2	-15.2	721.0
558	7.0	-15.2	720.9
559	6.9	-15.2	720.8
560	6.7	-15.2	720.8
561	6.5	-15.2	720.7
562	6.4	-15.2	720.7
563	6.2	-15.2	720.7
564	6.0	-15.2	720.7
565	5.8	-15.2	720.8
566	5.6	-15.2	720.8
567	5.4	-15.2	720.9
568	5.2	-15.2	721.0
569	5.0	-15.2	721.2
570	4.8	-15.2	721.3
571	4.6	-15.2	721.5
572	4.4	-15.2	721.7
573	4.2	-15.3	721.9
574	4.0	-15.3	722.2
575	3.8	-15.3	722.5
576	3.5	-15.3	722.7
577	3.3	-15.3	723.1
578	3.1	-15.3	723.4
579	2.9	-15.3	723.7
580	2.7	-15.4	724.1
581	2.5	-15.4	724.5
582	2.2	-15.4	724.9
583	2.0	-15.4	725.3
584	1.8	-15.4	725.8
585	1.6	-15.5	726.3
586	1.4	-15.5	726.7
587	1.2	-15.5	727.2
588	1.0	-15.5	727.8
589	0.8	-15.5	728.3
590	0.6	-15.6	728.8
591	0.4	-15.6	729.4
592	0.2	-15.6	730.0
593	0.0	-15.6	730.5
594	-0.2	-15.7	731.1
595	-0.3	-15.7	731.8
596	-0.5	-15.7	732.4
597	-0.7	-15.7	733.0
598	-0.8	-15.8	733.6
599	-1.0	-15.8	734.3
600	-1.1	-15.8	734.9
601	-1.3	-15.8	735.6
602	-1.4	-15.9	736.2
603	-1.6	-15.9	736.9
604	-1.7	-15.9	737.5
605	-1.8	-16.0	738.2
606	-1.9	-16.0	738.8
607	-2.0	-16.0	739.5
608	-2.1	-16.1	740.1
609	-2.2	-16.1	740.8
610	-2.3	-16.1	741.4
611	-2.4	-16.1	742.0
612	-2.4	-16.2	742.7
613	-2.5	-16.2	743.3
614	-2.6	-16.2	743.9
615	-2.6	-16.3	744.5
616	-2.7	-16.3	745.0
617	-2.7	-16.3	745.6
618	-2.7	-16.4	746.1
619	-2.7	-16.4	746.7
620	-2.7	-16.4	747.2
621	-2.8	-16.4	747.7
622	-2.8	-16.5	748.1
623	-2.7	-16.5	748.6
624	-2.7	-16.5	749.0
625	-2.7	-16.5	749.4
626	-2.7	-16.6	749.8
627	-2.7	-16.6	750.2
628	-2.6	-16.6	750.5
629	-2.6	-16.6	750.9
630	-2.5	-16.7	751.1
631	-2.5	-16.7	751.4
632	-2.4	-16.7	751.7
633	-2.3	-16.7	751.9
634	-2.3	-16.7	752.1
635	-2.2	-16.7	752.2
636	-2.1	-16.7	752.3
637	-2.0	-16.8	752.4
638	-1.9	-16.8	752.5
639	-1.8	-16.8	752.6
640	-1.7	-16.8	752.6
641	-1.6	-16.8	752.6
642	-1.5	-16.8	752.6
643	-1.4	-16.8	752.5
644	-1.3	-16.8	752.4
645	-1.2	-16.8	752.3
646	-1.1	-16.8	752.2
647	-1.0	-16.8	752.0
648	-0.9	-16.7	751.8
649	-0.8	-16.7	751.6
650	-0.6	-16.7	751.4
651	-0.5	-16.7	751.1
652	-0.4	-16.7	750.8
653	-0.3	-16.7	750.5
654	-0.2	-16.6	750.2
655	-0.1	-16.6	749.9
656	-0.0	-16.6	749.5
657	0.1	-16.6	749.2
658	0.2	-16.5	748.8
659	0.3	-16.5	748.4
660	0.4	-16.5	748.0
661	0.4	-16.4	747.5
662	0.5	-16.4	747.1
663	0.6	-16.4	746.6
664	0.7	-16.3	746.2
665	0.7	-16.3	745.7
666	0.8	-16.3	745.3
667	0.9	-16.2	744.8
668	0.9	-16.2	744.3
669	1.0	-16.1	743.8
670	1.0	-16.1	743.3
671	1.0	-16.0	742.8
672	1.1	-16.0	742.4
673	1.1	-15.9	741.9
674	1.1	-15.9	741.4
675	1.1	-15.9	740.9
676	1.1	-15.8	740.4
677	1.1	-15.8	740.0
678	1.1	-15.7	739.5
679	1.1	-15.7	739.1
680	1.1	-15.6	738.6
681	1.1	-15.6	738.2
682	1.0	-15.5	737.8
683	1.0	-15.5	737.4
684	1.0	-15.4	737.0
685	0.9	-15.4	736.6
686	0.9	-15.3	736.2
687	0.8	-15.3	735.8
688	0.8	-15.2	735.5
689	0.7	-15.2	735.2
690	0.6	-15.2	734.9
691	0.6	-15.1	734.6
692	0.5	-15.1	734.3
693	0.4	-15.0	734.0
694	0.3	-15.0	733.8
695	0.2	-14.9	733.6
696	0.1	-14.9	733.4
697	0.1	-14.9	733.2
698	-0.0	-14.8	733.0
699	-0.1	-14.8	732.9
700	-0.2	-14.8	732.7
701	-0.3	-14.7	732.6
702	-0.4	-14.7	732.5
703	-0.5	-14.7	732.5
704	-0.6	-14.6	732.4
705	-0.8	-14.6	732.4
706	-0.9	-14.5	732.4
707	-1.0	-14.5	732.4
708	-1.1	-14.5	732.5
709	-1.2	-14.4	732.5
710	-1.3	-14.4	732.6
711	-1.4	-14.4	732.7
712	-1.5	-14.3	732.8
713	-1.6	-14.3	732.9
714	-1.7	-14.3	733.1
715	-1.8	-14.2	733.3
716	-1.9	-14.2	733.5
717	-2.1	-14.1	733.7
718	-2.2	-14.1	733.9
719	-2.3	-14.0	734.1
720	-2.4	-14.0	734.4
721	-2.5	-14.0	734.7
722	-2.5	-13.9	735.0
723	-2.6	-13.9	735.3
724	-2.7	-13.8	735.6
725	-2.8	-13.8	736.0
726	-2.9	-13.7	736.3
727	-3.0	-13.6	736.7
728	-3.1	-13.6	737.1
729	-3.1	-13.5	737.4
730	-3.2	-13.5	737.9
731	-3.3	-13.4	738.3
732	-3.3	-13.4	738.7
733	-3.4	-13.3	739.1
734	-3.4	-13.2	739.6
735	-3.5	-13.2	740.0
736	-3.5	-13.1	740.5
737	-3.6	-13.0	740.9
738	-3.6	-13.0	741.4
739	-3.7	-12.9	741.9
740	-3.7	-12.8	742.3
741	-3.7	-12.7	742.8
742	-3.7	-12.7	743.3
743	-3.8	-12.6	743.8
744	-3.8	-12.5	744.3
745	-3.8	-12.5	744.8
746	-3.8	-12.4	745.2
747	-3.8	-12.3	745.7
748	-3.8	-12.2	746.2
749	-3.8	-12.2	746.7
750	-3.8	-12.1	747.2
751	-3.7	-12.0	747.6
752	-3.7	-11.9	748.1
753	-3.7	-11.9	748.6
754	-3.6	-11.8	749.0
755	-3.6	-11.7	749.5
756	-3.6	-11.6	749.9
757	-3.5	-11.6	750.3
758	-3.5	-11.5	750.8
759	-3.4	-11.4	751.2
760	-3.4	-11.4	751.6
761	-3.3	-11.3	752.0
762	-3.2	-11.2	752.4
763	-3.1	-11.2	752.8
764	-3.1	-11.1	753.1
765	-3.0	-11.0	753.5
766	-2.9	-11.0	753.8
767	-2.8	-10.9	754.1
768	-2.7	-10.9	754.5
769	-2.6	-10.8	754.8
770	-2.5	-10.7	755.1
771	-2.4	-10.7	755.3
772	-2.3	-10.6	755.6
773	-2.2	-10.6	755.9
774	-2.1	-10.5	756.1
775	-2.0	-10.5	756.3
776	-1.9	-10.5	756.6
777	-1.8	-10.4	756.8
778	-1.7	-10.4	756.9
779	-1.5	-10.4	757.1
780	-1.4	-10.3	757.3
781	-1.3	-10.3	757.4
782	-1.2	-10.3	757.6
783	-1.0	-10.3	757.7
784	-0.9	-10.2	757.8
785	-0.8	-10.2	757.9
786	-0.7	-10.2	758.0
787	-0.5	-10.2	758.1
788	-0.4	-10.2	758.2
789	-0.3	-10.2	758.2
790	-0.1	-10.2	758.3
791	-0.0	-10.2	758.3
792	0.1	-10.3	758.4
