	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTR 1.c3d
	FP3	FP3	FP3
	FORCE	FORCE	FORCE
	PROCESSED	PROCESSED	PROCESSED
ITEM	X	Y	Z
449	-10.0	-7.5	724.3
450	-10.0	-7.5	724.0
451	-10.0	-7.5	723.8
452	-9.9	-7.5	723.5
453	-9.9	-7.5	723.2
454	-9.9	-7.5	723.0
455	-9.8	-7.5	722.7
456	-9.8	-7.5	722.4
457	-9.8	-7.5	722.1
458	-9.8	-7.5	721.8
459	-9.7	-7.5	721.5
460	-9.7	-7.4	721.3
461	-9.7	-7.4	721.0
462	-9.7	-7.4	720.7
463	-9.6	-7.4	720.4
464	-9.6	-7.3	720.1
465	-9.6	-7.3	719.8
466	-9.6	-7.3	719.5
467	-9.5	-7.2	719.2
468	-9.5	-7.2	718.9
469	-9.5	-7.2	718.6
470	-9.4	-7.1	718.3
471	-9.4	-7.1	718.0
472	-9.4	-7.0	717.7
473	-9.3	-7.0	717.5
474	-9.3	-6.9	717.2
475	-9.3	-6.9	716.9
476	-9.3	-6.8	716.6
477	-9.2	-6.8	716.3
478	-9.2	-6.7	716.1
479	-9.2	-6.6	715.8
480	-9.1	-6.6	715.5
481	-9.1	-6.5	715.2
482	-9.0	-6.4	715.0
483	-9.0	-6.3	714.7
484	-9.0	-6.2	714.5
485	-8.9	-6.2	714.2
486	-8.9	-6.1	714.0
487	-8.9	-6.0	713.7
488	-8.8	-5.9	713.5
489	-8.8	-5.8	713.3
490	-8.7	-5.7	713.0
491	-8.7	-5.6	712.8
492	-8.6	-5.5	712.6
493	-8.6	-5.4	712.4
494	-8.6	-5.3	712.2
495	-8.5	-5.2	712.0
496	-8.5	-5.1	711.8
497	-8.4	-5.0	711.6
498	-8.3	-4.9	711.4
499	-8.3	-4.8	711.3
500	-8.2	-4.7	711.1
501	-8.2	-4.6	710.9
502	-8.1	-4.5	710.8
503	-8.1	-4.4	710.6
504	-8.0	-4.3	710.5
505	-7.9	-4.2	710.4
506	-7.9	-4.1	710.3
507	-7.8	-4.0	710.1
508	-7.7	-3.9	710.0
509	-7.7	-3.8	710.0
510	-7.6	-3.7	709.9
511	-7.5	-3.6	709.8
512	-7.5	-3.5	709.7
513	-7.4	-3.4	709.7
514	-7.3	-3.3	709.6
515	-7.2	-3.2	709.6
516	-7.1	-3.1	709.5
517	-7.1	-3.0	709.5
518	-7.0	-2.9	709.5
519	-6.9	-2.8	709.5
520	-6.8	-2.7	709.5
521	-6.7	-2.7	709.6
522	-6.6	-2.6	709.6
523	-6.5	-2.5	709.6
524	-6.4	-2.5	709.7
525	-6.3	-2.4	709.8
526	-6.2	-2.3	709.8
527	-6.1	-2.3	709.9
528	-6.0	-2.2	710.0
529	-5.9	-2.2	710.1
530	-5.8	-2.1	710.3
531	-5.7	-2.1	710.4
532	-5.6	-2.1	710.6
533	-5.5	-2.0	710.7
534	-5.4	-2.0	710.9
535	-5.3	-2.0	711.1
536	-5.1	-2.0	711.3
537	-5.0	-2.0	711.5
538	-4.9	-2.0	711.8
539	-4.8	-1.9	712.0
540	-4.7	-1.9	712.3
541	-4.5	-1.9	712.5
542	-4.4	-1.9	712.8
543	-4.3	-2.0	713.1
