	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d
	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment	R_Knee_Moment	R_Knee_Moment	R_Knee_Moment
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
212	39.52	2.16	-5.48	29.89	-0.68	-2.15
213	41.96	1.79	-5.15	30.93	-1.02	-1.91
214	44.46	1.38	-4.73	31.91	-1.36	-1.63
215	46.98	0.97	-4.25	33.00	-1.74	-1.29
216	49.47	0.55	-3.70	33.95	-2.10	-0.91
217	51.96	0.14	-3.08	35.02	-2.48	-0.46
218	54.39	-0.27	-2.39	36.06	-2.87	0.04
219	56.85	-0.68	-1.63	37.07	-3.24	0.61
220	59.22	-1.06	-0.82	38.14	-3.62	1.24
221	61.61	-1.43	0.07	39.25	-4.00	1.95
222	63.92	-1.76	0.98	40.29	-4.35	2.70
223	66.26	-2.09	1.97	41.45	-4.69	3.55
224	68.56	-2.37	2.97	42.63	-5.01	4.45
225	70.76	-2.61	4.01	43.79	-5.30	5.41
226	73.03	-2.83	5.10	45.05	-5.57	6.47
227	75.13	-2.99	6.18	46.33	-5.80	7.54
228	77.30	-3.14	7.32	47.64	-5.99	8.68
229	79.33	-3.23	8.44	48.95	-6.14	9.85
230	81.37	-3.29	9.60	50.35	-6.25	11.08
231	83.34	-3.31	10.75	51.71	-6.32	12.35
232	85.21	-3.28	11.88	53.08	-6.35	13.63
233	87.11	-3.21	13.02	54.46	-6.33	14.96
234	88.94	-3.10	14.15	55.88	-6.27	16.32
235	90.67	-2.94	15.25	57.24	-6.16	17.69
236	92.41	-2.74	16.37	58.60	-6.01	19.08
237	94.04	-2.49	17.45	59.95	-5.82	20.53
238	95.63	-2.20	18.53	61.33	-5.59	21.95
239	97.09	-1.85	19.57	62.62	-5.31	23.40
240	98.56	-1.47	20.63	63.94	-4.99	24.88
241	99.92	-1.04	21.65	65.22	-4.64	26.33
242	101.17	-0.57	22.61	66.49	-4.25	27.82
243	102.42	-0.06	23.55	67.75	-3.82	29.29
244	103.62	0.47	24.45	68.90	-3.35	30.76
245	104.67	1.04	25.28	70.20	-2.86	32.25
246	105.74	1.63	26.09	71.42	-2.34	33.70
247	106.68	2.25	26.83	72.56	-1.79	35.15
248	107.58	2.88	27.54	73.74	-1.22	36.56
249	108.46	3.52	28.19	74.84	-0.63	37.91
250	109.20	4.17	28.77	75.85	-0.03	39.22
251	109.98	4.81	29.33	76.85	0.59	40.50
