	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 3.c3d
	R_Knee_Angle	R_Knee_Angle	R_Knee_Angle	R_Hip_Angle	R_Ankle_Angle	R_Knee_Angle	R_Knee_Angle	R_Knee_Angle	R_Hip_Angle	R_Ankle_Angle	R_Knee_Angle	R_Knee_Angle	R_Knee_Angle	R_Hip_Angle	R_Ankle_Angle
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	Y	X	X	Y	Z	Y	X	X	Y	Z	Y	X
47	25.87	-2.45	-0.57	2.08	76.54	38.02	-3.21	0.09	3.54	80.78	42.00	-2.90	1.19	4.69	81.46
48	26.22	-2.51	-0.62	2.12	76.65	38.38	-3.22	0.11	3.75	80.96	42.29	-2.93	1.18	4.93	81.58
49	26.57	-2.57	-0.66	2.16	76.76	38.73	-3.22	0.12	3.97	81.15	42.57	-2.97	1.17	5.18	81.70
50	26.93	-2.63	-0.71	2.20	76.87	39.09	-3.22	0.13	4.19	81.33	42.85	-3.01	1.16	5.43	81.82
51	27.30	-2.69	-0.75	2.25	76.98	39.44	-3.22	0.14	4.42	81.51	43.12	-3.04	1.14	5.67	81.93
52	27.67	-2.75	-0.80	2.30	77.09	39.80	-3.22	0.15	4.65	81.69	43.38	-3.08	1.13	5.92	82.05
53	28.04	-2.81	-0.84	2.36	77.21	40.15	-3.22	0.16	4.89	81.87	43.64	-3.12	1.11	6.16	82.15
54	28.41	-2.88	-0.87	2.41	77.33	40.51	-3.22	0.16	5.13	82.05	43.89	-3.15	1.10	6.40	82.26
55	28.79	-2.94	-0.91	2.47	77.45	40.86	-3.23	0.17	5.38	82.22	44.13	-3.19	1.08	6.63	82.36
56	29.17	-3.01	-0.94	2.53	77.57	41.22	-3.23	0.18	5.63	82.40	44.37	-3.22	1.07	6.86	82.45
57	29.55	-3.08	-0.96	2.60	77.70	41.57	-3.24	0.18	5.89	82.58	44.61	-3.26	1.06	7.08	82.54
58	29.92	-3.15	-0.99	2.66	77.83	41.92	-3.26	0.19	6.14	82.75	44.83	-3.29	1.05	7.30	82.63
59	30.30	-3.22	-1.01	2.73	77.96	42.26	-3.28	0.21	6.40	82.92	45.06	-3.31	1.05	7.51	82.72
60	30.67	-3.29	-1.02	2.80	78.09	42.60	-3.30	0.22	6.66	83.10	45.27	-3.34	1.05	7.71	82.80
61	31.05	-3.37	-1.03	2.87	78.23	42.94	-3.32	0.24	6.91	83.27	45.49	-3.36	1.04	7.90	82.88
62	31.42	-3.44	-1.04	2.94	78.36	43.27	-3.35	0.25	7.17	83.44	45.69	-3.38	1.05	8.09	82.95
63	31.79	-3.52	-1.04	3.02	78.50	43.60	-3.37	0.27	7.42	83.60	45.90	-3.40	1.05	8.26	83.03
