	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTL 2.c3d
	FP3	FP3	FP3
	COFP	COFP	COFP
	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z
470	0.4331	0.3072	0.0117
471	0.4328	0.3077	0.0118
472	0.4322	0.3079	0.0117
473	0.4319	0.3081	0.0117
474	0.4314	0.3078	0.0117
475	0.4308	0.3081	0.0117
476	0.4303	0.3083	0.0117
477	0.4304	0.3089	0.0117
478	0.4297	0.3088	0.0117
479	0.4294	0.3092	0.0117
480	0.4290	0.3089	0.0117
481	0.4290	0.3092	0.0117
482	0.4283	0.3095	0.0117
483	0.4281	0.3095	0.0117
484	0.4275	0.3101	0.0117
485	0.4276	0.3102	0.0117
486	0.4273	0.3100	0.0117
487	0.4267	0.3107	0.0117
488	0.4269	0.3108	0.0117
489	0.4260	0.3105	0.0117
490	0.4257	0.3110	0.0117
491	0.4255	0.3113	0.0117
492	0.4256	0.3115	0.0117
493	0.4252	0.3113	0.0117
494	0.4251	0.3116	0.0117
495	0.4246	0.3116	0.0117
496	0.4246	0.3116	0.0117
497	0.4239	0.3119	0.0117
498	0.4239	0.3122	0.0117
499	0.4237	0.3121	0.0117
500	0.4233	0.3123	0.0117
501	0.4233	0.3127	0.0117
502	0.4233	0.3129	0.0117
503	0.4224	0.3129	0.0117
504	0.4225	0.3132	0.0117
505	0.4225	0.3132	0.0117
506	0.4220	0.3128	0.0117
507	0.4222	0.3136	0.0117
508	0.4222	0.3132	0.0117
509	0.4217	0.3136	0.0117
510	0.4217	0.3135	0.0117
511	0.4219	0.3134	0.0117
512	0.4215	0.3132	0.0117
513	0.4210	0.3136	0.0117
514	0.4215	0.3133	0.0117
515	0.4208	0.3138	0.0117
516	0.4211	0.3142	0.0117
517	0.4212	0.3139	0.0117
518	0.4210	0.3143	0.0117
519	0.4210	0.3140	0.0117
520	0.4211	0.3139	0.0117
521	0.4209	0.3143	0.0117
522	0.4212	0.3145	0.0117
523	0.4211	0.3145	0.0117
524	0.4212	0.3142	0.0117
525	0.4213	0.3139	0.0117
526	0.4208	0.3146	0.0117
527	0.4211	0.3145	0.0117
528	0.4212	0.3144	0.0117
529	0.4209	0.3143	0.0117
530	0.4215	0.3152	0.0117
531	0.4212	0.3144	0.0117
532	0.4212	0.3146	0.0117
533	0.4216	0.3149	0.0117
534	0.4216	0.3146	0.0117
535	0.4221	0.3144	0.0117
536	0.4219	0.3147	0.0117
537	0.4218	0.3148	0.0117
538	0.4223	0.3150	0.0117
539	0.4223	0.3149	0.0117
540	0.4227	0.3148	0.0117
541	0.4230	0.3151	0.0118
542	0.4234	0.3151	0.0118
543	0.4235	0.3150	0.0118
544	0.4236	0.3149	0.0118
545	0.4234	0.3152	0.0118
546	0.4233	0.3153	0.0118
547	0.4241	0.3155	0.0118
548	0.4238	0.3160	0.0118
549	0.4242	0.3155	0.0118
550	0.4245	0.3153	0.0118
551	0.4249	0.3156	0.0118
552	0.4248	0.3160	0.0118
553	0.4246	0.3158	0.0118
554	0.4256	0.3165	0.0118
555	0.4257	0.3165	0.0118
556	0.4260	0.3165	0.0118
557	0.4264	0.3167	0.0118
558	0.4265	0.3168	0.0118
559	0.4275	0.3171	0.0118
560	0.4272	0.3170	0.0118
561	0.4275	0.3171	0.0118
562	0.4277	0.3173	0.0118
563	0.4277	0.3169	0.0118
564	0.4288	0.3174	0.0118
565	0.4290	0.3177	0.0118
566	0.4289	0.3180	0.0118
567	0.4296	0.3185	0.0118
568	0.4291	0.3184	0.0118
569	0.4301	0.3185	0.0118
570	0.4302	0.3187	0.0118
571	0.4306	0.3191	0.0118
572	0.4306	0.3195	0.0118
573	0.4313	0.3194	0.0118
574	0.4311	0.3199	0.0118
575	0.4314	0.3202	0.0118
576	0.4319	0.3205	0.0118
577	0.4318	0.3205	0.0118
578	0.4325	0.3209	0.0118
579	0.4332	0.3212	0.0118
