	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d
	FP3	FP3	FP3	FP3	FP3	FP3	FP3	FP3	FP3
	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	X	Y	Z	X	Y	Z	X	Y	Z
187	23.7	-18.2	606.9	-17.2	2.7	898.5	-11.3	-11.4	693.0
188	23.7	-17.8	612.3	-17.7	3.5	901.6	-11.4	-11.2	696.4
189	23.7	-17.4	617.6	-18.2	4.3	904.7	-11.6	-11.0	699.8
190	23.7	-17.0	623.0	-18.6	5.1	907.8	-11.7	-10.8	703.3
191	23.6	-16.5	628.5	-19.1	5.9	910.8	-11.8	-10.6	706.8
192	23.6	-16.1	634.0	-19.5	6.7	913.8	-11.9	-10.4	710.2
193	23.5	-15.6	639.4	-20.0	7.5	916.8	-12.1	-10.1	713.7
194	23.4	-15.1	645.0	-20.4	8.3	919.8	-12.2	-9.9	717.2
195	23.4	-14.6	650.5	-20.8	9.1	922.7	-12.3	-9.6	720.7
196	23.3	-14.1	656.0	-21.2	9.8	925.6	-12.4	-9.4	724.1
197	23.2	-13.5	661.6	-21.7	10.6	928.4	-12.5	-9.1	727.6
198	23.1	-13.0	667.1	-22.1	11.4	931.2	-12.7	-8.8	731.1
199	23.0	-12.4	672.7	-22.5	12.2	934.0	-12.8	-8.5	734.6
200	22.9	-11.8	678.3	-22.9	13.0	936.8	-12.9	-8.2	738.0
201	22.8	-11.3	683.9	-23.3	13.7	939.5	-13.0	-7.9	741.5
202	22.7	-10.7	689.4	-23.6	14.5	942.2	-13.2	-7.6	744.9
203	22.6	-10.1	695.0	-24.0	15.2	944.9	-13.3	-7.3	748.3
204	22.4	-9.4	700.5	-24.3	15.9	947.5	-13.4	-6.9	751.7
205	22.3	-8.8	706.0	-24.7	16.7	950.1	-13.5	-6.6	755.1
206	22.1	-8.2	711.6	-25.0	17.4	952.7	-13.7	-6.2	758.5
207	21.9	-7.6	717.1	-25.3	18.1	955.3	-13.8	-5.9	761.8
208	21.8	-6.9	722.5	-25.6	18.8	957.8	-13.9	-5.5	765.1
209	21.6	-6.3	728.0	-25.9	19.5	960.3	-14.0	-5.1	768.4
210	21.4	-5.6	733.4	-26.2	20.1	962.7	-14.2	-4.7	771.6
211	21.2	-5.0	738.8	-26.4	20.8	965.1	-14.3	-4.3	774.8
212	20.9	-4.3	744.2	-26.7	21.4	967.6	-14.4	-3.9	778.0
213	20.7	-3.7	749.5	-26.9	22.1	969.9	-14.6	-3.5	781.1
214	20.5	-3.0	754.8	-27.1	22.7	972.3	-14.7	-3.1	784.2
215	20.2	-2.3	760.0	-27.3	23.3	974.6	-14.8	-2.7	787.3
216	20.0	-1.6	765.2	-27.5	23.9	976.9	-15.0	-2.3	790.3
217	19.7	-1.0	770.4	-27.7	24.5	979.2	-15.1	-1.8	793.2
218	19.4	-0.3	775.5	-27.8	25.0	981.5	-15.2	-1.4	796.2
219	19.1	0.4	780.6	-28.0	25.6	983.7	-15.4	-0.9	799.1
220	18.8	1.1	785.6	-28.1	26.1	985.9	-15.5	-0.5	801.9
221	18.5	1.8	790.6	-28.2	26.6	988.1	-15.6	-0.0	804.7
222	18.2	2.5	795.5	-28.3	27.1	990.3	-15.8	0.4	807.4
223	17.9	3.2	800.4	-28.4	27.6	992.5	-15.9	0.9	810.1
224	17.5	3.9	805.2	-28.4	28.1	994.6	-16.0	1.3	812.8
225	17.2	4.6	810.0	-28.5	28.6	996.8	-16.1	1.8	815.4
226	16.8	5.3	814.7	-28.5	29.0	998.9	-16.3	2.3	817.9
227	16.5	6.0	819.4	-28.6	29.5	1001.0	-16.4	2.7	820.4
228	16.1	6.7	824.0	-28.6	29.9	1003.1	-16.5	3.2	822.9
229	15.8	7.4	828.5	-28.6	30.4	1005.2	-16.6	3.7	825.3
230	15.4	8.1	833.0	-28.5	30.8	1007.3	-16.8	4.2	827.6
231	15.0	8.8	837.4	-28.5	31.2	1009.4	-16.9	4.6	830.0
232	14.6	9.5	841.7	-28.5	31.6	1011.5	-17.0	5.1	832.2
233	14.2	10.2	846.0	-28.4	32.0	1013.6	-17.1	5.6	834.4
234	13.8	10.9	850.3	-28.3	32.3	1015.7	-17.2	6.1	836.6
235	13.4	11.6	854.4	-28.3	32.7	1017.7	-17.3	6.5	838.7
236	13.0	12.3	858.6	-28.2	33.1	1019.8	-17.4	7.0	840.8
237	12.6	13.0	862.6	-28.1	33.4	1021.9	-17.5	7.5	842.9
238	12.2	13.7	866.6	-27.9	33.8	1023.9	-17.5	7.9	844.9
239	11.8	14.4	870.5	-27.8	34.1	1026.0	-17.6	8.4	846.8
240	11.4	15.1	874.4	-27.7	34.5	1028.1	-17.7	8.9	848.8
241	11.0	15.8	878.2	-27.6	34.8	1030.2	-17.7	9.4	850.6
242	10.5	16.5	882.0	-27.4	35.2	1032.2	-17.8	9.8	852.5
243	10.1	17.2	885.7	-27.2	35.5	1034.3	-17.8	10.3	854.3
244	9.7	17.8	889.4	-27.1	35.8	1036.4	-17.9	10.8	856.1
245	9.3	18.5	893.0	-26.9	36.2	1038.4	-17.9	11.2	857.8
246	8.9	19.2	896.5	-26.7	36.5	1040.5	-17.9	11.7	859.6
247	8.5	19.9	900.0	-26.5	36.9	1042.5	-17.9	12.1	861.2
248	8.0	20.5	903.4	-26.3	37.2	1044.6	-17.9	12.6	862.9
249	7.6	21.2	906.8	-26.1	37.5	1046.6	-17.9	13.0	864.5
250	7.2	21.8	910.2	-25.8	37.9	1048.7	-17.9	13.5	866.2
251	6.8	22.5	913.5	-25.6	38.2	1050.7	-17.9	13.9	867.7
252	6.4	23.1	916.7	-25.3	38.6	1052.7	-17.9	14.4	869.3
253	6.0	23.8	920.0	-25.1	38.9	1054.7	-17.8	14.8	870.9
254	5.6	24.4	923.1	-24.8	39.3	1056.7	-17.8	15.3	872.4
255	5.2	25.0	926.3	-24.5	39.6	1058.7	-17.7	15.7	873.9
256	4.8	25.6	929.4	-24.2	40.0	1060.6	-17.6	16.1	875.4
257	4.4	26.2	932.4	-23.9	40.4	1062.6	-17.6	16.6	876.9
258	4.0	26.9	935.5	-23.6	40.7	1064.5	-17.5	17.0	878.4
259	3.6	27.5	938.5	-23.3	41.1	1066.4	-17.4	17.4	879.8
260	3.2	28.1	941.4	-23.0	41.5	1068.2	-17.2	17.9	881.3
261	2.8	28.7	944.4	-22.6	41.8	1070.0	-17.1	18.3	882.7
262	2.4	29.2	947.3	-22.3	42.2	1071.8	-17.0	18.7	884.2
263	2.0	29.8	950.1	-21.9	42.6	1073.6	-16.9	19.2	885.6
264	1.6	30.4	953.0	-21.6	43.0	1075.3	-16.7	19.6	887.0
265	1.3	31.0	955.8	-21.2	43.4	1077.0	-16.5	20.0	888.4
266	0.9	31.6	958.6	-20.8	43.8	1078.7	-16.4	20.4	889.8
267	0.5	32.1	961.3	-20.4	44.2	1080.3	-16.2	20.9	891.2
268	0.2	32.7	964.1	-20.0	44.6	1081.8	-16.0	21.3	892.6
269	-0.2	33.3	966.8	-19.5	45.0	1083.3	-15.8	21.7	894.0
270	-0.5	33.8	969.5	-19.1	45.5	1084.8	-15.6	22.1	895.4
271	-0.9	34.4	972.2	-18.6	45.9	1086.2	-15.4	22.5	896.8
272	-1.2	35.0	974.8	-18.2	46.3	1087.6	-15.2	23.0	898.2
273	-1.5	35.5	977.4	-17.7	46.8	1088.9	-14.9	23.4	899.6
274	-1.9	36.1	980.0	-17.2	47.2	1090.1	-14.7	23.8	901.0
