	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d
	L_Knee_Angle	L_Knee_Angle	L_Knee_Angle	L_Hip_Angle	L_Ankle_Angle	L_Knee_Angle	L_Knee_Angle	L_Knee_Angle	L_Hip_Angle	L_Ankle_Angle	L_Knee_Angle	L_Knee_Angle	L_Knee_Angle	L_Hip_Angle	L_Ankle_Angle
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	Y	X	X	Y	Z	Y	X	X	Y	Z	Y	X
115	59.64	-3.13	-0.04	26.16	95.01	58.55	-2.60	-0.03	23.41	94.57	54.25	-3.15	1.26	23.55	92.37
116	59.88	-3.15	-0.08	26.13	95.10	58.54	-2.59	-0.04	23.27	94.60	54.45	-3.14	1.29	23.43	92.48
117	60.11	-3.16	-0.12	26.09	95.19	58.52	-2.58	-0.04	23.13	94.63	54.65	-3.14	1.31	23.31	92.59
118	60.34	-3.18	-0.15	26.06	95.28	58.50	-2.58	-0.04	22.99	94.65	54.84	-3.13	1.34	23.19	92.70
119	60.55	-3.19	-0.18	26.02	95.36	58.46	-2.57	-0.05	22.85	94.67	55.04	-3.13	1.36	23.07	92.80
120	60.75	-3.20	-0.21	25.98	95.45	58.43	-2.56	-0.06	22.72	94.70	55.24	-3.12	1.39	22.95	92.91
121	60.95	-3.21	-0.24	25.94	95.53	58.38	-2.55	-0.07	22.58	94.72	55.43	-3.11	1.41	22.83	93.01
122	61.13	-3.22	-0.27	25.89	95.62	58.33	-2.55	-0.08	22.44	94.74	55.63	-3.10	1.44	22.71	93.11
123	61.30	-3.23	-0.29	25.85	95.70	58.27	-2.54	-0.09	22.31	94.75	55.82	-3.09	1.46	22.59	93.22
124	61.47	-3.24	-0.32	25.80	95.78	58.21	-2.53	-0.11	22.17	94.77	56.01	-3.08	1.49	22.48	93.32
125	61.62	-3.25	-0.35	25.74	95.87	58.14	-2.52	-0.13	22.03	94.78	56.20	-3.06	1.51	22.37	93.42
126	61.76	-3.26	-0.37	25.69	95.95	58.06	-2.51	-0.15	21.89	94.78	56.39	-3.05	1.54	22.27	93.51
127	61.89	-3.27	-0.40	25.63	96.03	57.98	-2.50	-0.18	21.74	94.79	56.57	-3.03	1.56	22.16	93.61
128	62.02	-3.28	-0.43	25.57	96.11	57.89	-2.49	-0.21	21.60	94.79	56.75	-3.02	1.59	22.07	93.71
129	62.13	-3.28	-0.46	25.50	96.18	57.79	-2.48	-0.24	21.45	94.79	56.93	-3.00	1.61	21.97	93.80
130	62.23	-3.29	-0.49	25.44	96.25	57.69	-2.46	-0.28	21.29	94.78	57.10	-2.99	1.63	21.88	93.89
131	62.33	-3.30	-0.53	25.37	96.32	57.58	-2.45	-0.31	21.13	94.77	57.27	-2.97	1.66	21.79	93.98
132	62.41	-3.31	-0.57	25.30	96.39	57.46	-2.44	-0.35	20.96	94.75	57.43	-2.96	1.68	21.71	94.07
133	62.48	-3.32	-0.61	25.23	96.45	57.34	-2.42	-0.40	20.79	94.73	57.59	-2.95	1.70	21.63	94.16
134	62.54	-3.33	-0.66	25.16	96.51	57.21	-2.41	-0.44	20.61	94.71	57.74	-2.93	1.72	21.55	94.24
135	62.60	-3.33	-0.71	25.09	96.57	57.07	-2.39	-0.49	20.42	94.68	57.89	-2.92	1.74	21.47	94.32
136	62.64	-3.34	-0.76	25.02	96.62	56.93	-2.37	-0.55	20.22	94.65	58.03	-2.91	1.75	21.40	94.39
137	62.67	-3.34	-0.82	24.95	96.66	56.79	-2.35	-0.60	20.02	94.60	58.17	-2.90	1.77	21.32	94.46
138	62.69	-3.35	-0.88	24.88	96.70	56.64	-2.34	-0.66	19.81	94.56	58.30	-2.90	1.78	21.25	94.53
139	62.70	-3.35	-0.95	24.80	96.73	56.48	-2.31	-0.72	19.59	94.51	58.42	-2.89	1.78	21.18	94.60
140	62.70	-3.35	-1.03	24.73	96.76	56.33	-2.29	-0.79	19.36	94.45	58.54	-2.89	1.78	21.10	94.65
141	62.69	-3.35	-1.11	24.65	96.78	56.16	-2.27	-0.86	19.13	94.38	58.65	-2.89	1.78	21.03	94.71
142	62.68	-3.35	-1.19	24.57	96.79	56.00	-2.24	-0.93	18.88	94.31	58.76	-2.89	1.77	20.96	94.75
143	62.65	-3.35	-1.28	24.49	96.80	55.83	-2.22	-1.00	18.64	94.23	58.85	-2.89	1.75	20.88	94.79
144	62.61	-3.34	-1.38	24.41	96.80	55.66	-2.19	-1.08	18.38	94.14	58.95	-2.90	1.73	20.81	94.83
145	62.56	-3.34	-1.47	24.32	96.80	55.49	-2.16	-1.16	18.12	94.04	59.04	-2.91	1.70	20.73	94.86
146	62.50	-3.33	-1.57	24.22	96.79	55.32	-2.13	-1.24	17.85	93.94	59.12	-2.92	1.66	20.65	94.88
147	62.43	-3.32	-1.68	24.12	96.77	55.15	-2.10	-1.32	17.58	93.83	59.20	-2.93	1.61	20.57	94.90
