	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d
	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z
145	82.43	1.00	-10.16	21.45	3.41	-2.79	57.38	13.31	-12.33
146	81.92	0.30	-9.82	19.43	2.66	-2.46	56.30	12.85	-11.95
147	81.37	-0.41	-9.48	17.49	1.90	-2.16	55.21	12.32	-11.57
148	80.77	-1.13	-9.15	15.65	1.13	-1.91	54.14	11.73	-11.20
149	80.13	-1.86	-8.82	13.92	0.37	-1.71	53.08	11.09	-10.83
150	79.44	-2.59	-8.50	12.32	-0.38	-1.56	52.04	10.39	-10.47
151	78.71	-3.32	-8.19	10.86	-1.11	-1.46	51.03	9.66	-10.13
152	77.95	-4.04	-7.90	9.56	-1.81	-1.43	50.05	8.89	-9.81
153	77.13	-4.76	-7.61	8.42	-2.48	-1.45	49.09	8.10	-9.51
154	76.30	-5.46	-7.34	7.47	-3.09	-1.55	48.18	7.30	-9.24
155	75.41	-6.15	-7.08	6.71	-3.65	-1.73	47.30	6.49	-9.00
156	74.52	-6.82	-6.83	6.15	-4.13	-1.98	46.45	5.69	-8.78
157	73.59	-7.46	-6.61	5.81	-4.54	-2.31	45.64	4.90	-8.59
158	72.64	-8.08	-6.40	5.69	-4.86	-2.71	44.87	4.13	-8.43
159	71.68	-8.66	-6.22	5.79	-5.07	-3.19	44.13	3.39	-8.30
160	70.71	-9.21	-6.06	6.13	-5.19	-3.75	43.41	2.69	-8.20
161	69.74	-9.72	-5.94	6.69	-5.18	-4.39	42.72	2.03	-8.12
162	68.79	-10.18	-5.84	7.50	-5.05	-5.10	42.05	1.42	-8.07
163	67.85	-10.59	-5.79	8.54	-4.78	-5.89	41.39	0.87	-8.05
164	66.93	-10.96	-5.76	9.81	-4.38	-6.75	40.75	0.36	-8.05
165	66.04	-11.27	-5.77	11.32	-3.84	-7.68	40.12	-0.08	-8.07
166	65.18	-11.51	-5.84	13.07	-3.16	-8.67	39.50	-0.47	-8.12
167	64.37	-11.71	-5.93	15.03	-2.33	-9.71	38.89	-0.80	-8.18
168	63.61	-11.84	-6.08	17.22	-1.37	-10.80	38.30	-1.07	-8.26
169	62.90	-11.89	-6.27	19.63	-0.26	-11.92	37.70	-1.30	-8.35
170	62.28	-11.89	-6.51	22.25	0.99	-13.08	37.13	-1.48	-8.44
171	61.70	-11.80	-6.80	25.08	2.37	-14.26	36.55	-1.61	-8.55
172	61.21	-11.65	-7.12	28.12	3.87	-15.45	35.99	-1.71	-8.66
173	60.80	-11.42	-7.50	31.36	5.51	-16.65	35.43	-1.77	-8.76
174	60.46	-11.10	-7.92	34.80	7.26	-17.83	34.90	-1.81	-8.87
175	60.22	-10.71	-8.39	38.43	9.12	-19.01	34.38	-1.81	-8.99
176	60.06	-10.22	-8.90	42.24	11.09	-20.14	33.89	-1.80	-9.11
177	59.99	-9.65	-9.46	46.22	13.15	-21.25	33.44	-1.77	-9.22
178	60.01	-8.98	-10.06	50.35	15.29	-22.30	33.03	-1.72	-9.35
179	60.13	-8.21	-10.72	54.63	17.52	-23.31	32.68	-1.67	-9.48
180	60.35	-7.34	-11.40	59.04	19.80	-24.24	32.40	-1.62	-9.62
181	60.66	-6.37	-12.13	63.53	22.14	-25.10	32.19	-1.57	-9.76
182	61.08	-5.29	-12.89	68.12	24.52	-25.89	32.08	-1.51	-9.91
183	61.60	-4.11	-13.67	72.74	26.92	-26.60	32.06	-1.45	-10.08
184	62.23	-2.81	-14.48	77.41	29.35	-27.23	32.16	-1.40	-10.26
185	62.97	-1.41	-15.31	82.11	31.77	-27.78	32.38	-1.34	-10.47
186	63.81	0.10	-16.15	86.83	34.18	-28.24	32.73	-1.28	-10.69
187	64.77	1.72	-17.00	91.57	36.55	-28.61	33.23	-1.21	-10.94
188	65.84	3.45	-17.85	96.30	38.87	-28.91	33.86	-1.12	-11.22
189	67.02	5.28	-18.69	101.02	41.11	-29.12	34.67	-1.00	-11.53
190	68.30	7.21	-19.51	105.72	43.27	-29.26	35.63	-0.85	-11.88
191	69.68	9.24	-20.31	110.39	45.31	-29.32	36.75	-0.67	-12.27
192	71.15	11.36	-21.08	114.99	47.22	-29.31	38.03	-0.43	-12.70
193	72.73	13.55	-21.80	119.55	48.97	-29.23	39.49	-0.13	-13.16
194	74.39	15.83	-22.49	124.04	50.55	-29.09	41.11	0.23	-13.66
195	76.14	18.16	-23.11	128.43	51.95	-28.89	42.89	0.65	-14.19
196	77.97	20.56	-23.69	132.72	53.14	-28.62	44.84	1.17	-14.76
197	79.89	23.00	-24.20	136.89	54.11	-28.29	46.94	1.76	-15.34
198	81.88	25.47	-24.65	140.94	54.85	-27.90	49.18	2.45	-15.94
199	83.93	27.97	-25.04	144.82	55.35	-27.44	51.58	3.24	-16.56
200	86.04	30.48	-25.35	148.54	55.62	-26.92	54.10	4.13	-17.18
201	88.21	32.98	-25.60	152.07	55.66	-26.33	56.74	5.12	-17.80
202	90.43	35.47	-25.78	155.39	55.47	-25.68	59.50	6.22	-18.42
203	92.70	37.91	-25.89	158.50	55.07	-24.97	62.37	7.42	-19.03
204	95.00	40.30	-25.93	161.34	54.47	-24.20	65.35	8.73	-19.62
205	97.33	42.63	-25.90	163.91	53.67	-23.37	68.42	10.14	-20.20
206	99.69	44.86	-25.79	166.19	52.70	-22.49	71.57	11.64	-20.76
207	102.06	46.98	-25.62	168.13	51.56	-21.57	74.79	13.24	-21.29
208	104.44	48.97	-25.38	169.72	50.27	-20.60	78.07	14.92	-21.79
209	106.83	50.80	-25.06	170.91	48.85	-19.61	81.38	16.67	-22.26
210	109.19	52.47	-24.67	171.68	47.31	-18.59	84.72	18.48	-22.67
211	111.55	53.93	-24.21	171.99	45.68	-17.55	88.05	20.32	-23.04
212	113.83	55.19	-23.67	171.81	43.97	-16.50	91.39	22.18	-23.35
213	116.06	56.22	-23.06	171.11	42.21	-15.45	94.72	24.04	-23.58
214	118.18	57.00	-22.37	169.86	40.43	-14.42	98.04	25.88	-23.76
215	120.17	57.55	-21.62	168.01	38.64	-13.39	101.34	27.68	-23.87
