	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d
	FP3	FP3	FP3	FP3	FP3	FP3	FP3	FP3	FP3
	COFP	COFP	COFP	COFP	COFP	COFP	COFP	COFP	COFP
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z
120	0.3746	0.2521	0.0115	0.3716	0.2401	0.0115	0.3906	0.2740	0.0116
121	0.3742	0.2518	0.0115	0.3710	0.2402	0.0115	0.3900	0.2744	0.0116
122	0.3738	0.2521	0.0115	0.3715	0.2401	0.0115	0.3905	0.2739	0.0116
123	0.3743	0.2516	0.0115	0.3712	0.2404	0.0115	0.3897	0.2741	0.0116
124	0.3726	0.2524	0.0115	0.3709	0.2401	0.0115	0.3897	0.2733	0.0116
125	0.3733	0.2512	0.0115	0.3714	0.2405	0.0115	0.3906	0.2740	0.0116
126	0.3729	0.2521	0.0115	0.3718	0.2410	0.0115	0.3910	0.2734	0.0116
127	0.3728	0.2520	0.0115	0.3711	0.2402	0.0115	0.3900	0.2735	0.0116
128	0.3730	0.2525	0.0115	0.3713	0.2409	0.0115	0.3906	0.2739	0.0116
129	0.3722	0.2516	0.0115	0.3708	0.2411	0.0115	0.3911	0.2734	0.0116
130	0.3722	0.2518	0.0115	0.3715	0.2412	0.0115	0.3912	0.2733	0.0116
131	0.3713	0.2519	0.0115	0.3712	0.2409	0.0115	0.3900	0.2725	0.0116
132	0.3712	0.2513	0.0115	0.3713	0.2413	0.0115	0.3909	0.2732	0.0116
133	0.3723	0.2526	0.0115	0.3710	0.2415	0.0115	0.3904	0.2728	0.0116
134	0.3714	0.2516	0.0115	0.3711	0.2416	0.0115	0.3903	0.2730	0.0116
135	0.3710	0.2521	0.0115	0.3710	0.2417	0.0115	0.3909	0.2730	0.0116
136	0.3705	0.2517	0.0115	0.3714	0.2418	0.0115	0.3913	0.2727	0.0116
137	0.3697	0.2522	0.0115	0.3715	0.2423	0.0115	0.3911	0.2733	0.0116
138	0.3702	0.2521	0.0115	0.3708	0.2424	0.0115	0.3912	0.2728	0.0116
139	0.3693	0.2522	0.0115	0.3720	0.2428	0.0115	0.3911	0.2735	0.0116
140	0.3696	0.2521	0.0115	0.3717	0.2430	0.0115	0.3911	0.2729	0.0116
141	0.3692	0.2524	0.0115	0.3721	0.2432	0.0115	0.3910	0.2735	0.0116
142	0.3687	0.2528	0.0115	0.3721	0.2431	0.0115	0.3911	0.2730	0.0116
143	0.3683	0.2526	0.0115	0.3719	0.2427	0.0115	0.3911	0.2736	0.0116
144	0.3678	0.2526	0.0115	0.3719	0.2434	0.0115	0.3912	0.2738	0.0116
145	0.3681	0.2528	0.0115	0.3725	0.2439	0.0115	0.3910	0.2728	0.0116
146	0.3679	0.2526	0.0115	0.3724	0.2434	0.0115	0.3909	0.2733	0.0116
147	0.3668	0.2526	0.0115	0.3724	0.2432	0.0115	0.3916	0.2735	0.0116
148	0.3672	0.2537	0.0115	0.3723	0.2436	0.0115	0.3909	0.2733	0.0116
149	0.3674	0.2534	0.0115	0.3728	0.2441	0.0115	0.3914	0.2736	0.0116
150	0.3669	0.2541	0.0115	0.3723	0.2443	0.0115	0.3911	0.2736	0.0116
151	0.3668	0.2544	0.0115	0.3731	0.2448	0.0115	0.3913	0.2739	0.0116
152	0.3663	0.2538	0.0115	0.3729	0.2447	0.0115	0.3912	0.2740	0.0116
153	0.3669	0.2543	0.0115	0.3734	0.2446	0.0115	0.3911	0.2740	0.0116
154	0.3664	0.2551	0.0115	0.3731	0.2450	0.0115	0.3913	0.2741	0.0116
155	0.3664	0.2549	0.0115	0.3737	0.2451	0.0115	0.3909	0.2741	0.0116
156	0.3653	0.2554	0.0115	0.3732	0.2451	0.0115	0.3911	0.2739	0.0116
157	0.3655	0.2560	0.0115	0.3735	0.2453	0.0115	0.3909	0.2742	0.0116
158	0.3660	0.2554	0.0115	0.3736	0.2452	0.0115	0.3913	0.2745	0.0116
159	0.3662	0.2557	0.0115	0.3736	0.2454	0.0115	0.3915	0.2749	0.0116
160	0.3659	0.2556	0.0115	0.3740	0.2452	0.0115	0.3910	0.2751	0.0116
161	0.3655	0.2561	0.0115	0.3744	0.2455	0.0115	0.3912	0.2753	0.0116
162	0.3662	0.2563	0.0115	0.3744	0.2456	0.0115	0.3905	0.2752	0.0116
163	0.3655	0.2563	0.0115	0.3744	0.2455	0.0115	0.3911	0.2751	0.0116
164	0.3658	0.2570	0.0115	0.3747	0.2456	0.0115	0.3911	0.2754	0.0116
165	0.3662	0.2568	0.0115	0.3750	0.2456	0.0115	0.3914	0.2758	0.0116
166	0.3665	0.2568	0.0115	0.3752	0.2457	0.0115	0.3912	0.2758	0.0116
167	0.3656	0.2574	0.0115	0.3747	0.2455	0.0115	0.3909	0.2760	0.0116
168	0.3659	0.2575	0.0115	0.3757	0.2458	0.0115	0.3912	0.2758	0.0116
169	0.3659	0.2572	0.0115	0.3754	0.2453	0.0115	0.3906	0.2765	0.0116
170	0.3667	0.2575	0.0115	0.3759	0.2455	0.0115	0.3909	0.2764	0.0116
171	0.3653	0.2574	0.0115	0.3757	0.2452	0.0115	0.3904	0.2765	0.0116
172	0.3658	0.2575	0.0115	0.3762	0.2450	0.0115	0.3906	0.2766	0.0116
173	0.3658	0.2576	0.0115	0.3761	0.2449	0.0115	0.3909	0.2767	0.0116
174	0.3655	0.2574	0.0115	0.3758	0.2447	0.0115	0.3909	0.2766	0.0116
175	0.3660	0.2575	0.0115	0.3767	0.2450	0.0115	0.3907	0.2774	0.0116
176	0.3655	0.2572	0.0115	0.3765	0.2451	0.0115	0.3912	0.2771	0.0116
177	0.3662	0.2573	0.0115	0.3764	0.2444	0.0115	0.3911	0.2764	0.0116
178	0.3664	0.2572	0.0115	0.3766	0.2444	0.0115	0.3911	0.2767	0.0116
179	0.3666	0.2573	0.0115	0.3772	0.2446	0.0115	0.3912	0.2769	0.0116
180	0.3671	0.2572	0.0115	0.3778	0.2445	0.0115	0.3907	0.2771	0.0116
181	0.3673	0.2565	0.0115	0.3777	0.2445	0.0115	0.3912	0.2774	0.0116
182	0.3674	0.2558	0.0115	0.3777	0.2442	0.0115	0.3913	0.2771	0.0116
183	0.3678	0.2566	0.0115	0.3778	0.2440	0.0115	0.3915	0.2775	0.0116
184	0.3679	0.2559	0.0115	0.3778	0.2438	0.0115	0.3914	0.2774	0.0116
185	0.3683	0.2562	0.0115	0.3780	0.2440	0.0115	0.3911	0.2775	0.0116
186	0.3688	0.2547	0.0115	0.3781	0.2435	0.0115	0.3908	0.2772	0.0116
187	0.3685	0.2553	0.0115	0.3782	0.2436	0.0115	0.3915	0.2774	0.0116
188	0.3683	0.2549	0.0115	0.3786	0.2432	0.0115	0.3907	0.2771	0.0116
189	0.3692	0.2542	0.0115	0.3789	0.2434	0.0115	0.3914	0.2774	0.0116
190	0.3694	0.2544	0.0115	0.3791	0.2433	0.0115	0.3914	0.2774	0.0116
191	0.3695	0.2542	0.0115	0.3796	0.2432	0.0115	0.3916	0.2779	0.0116
192	0.3694	0.2533	0.0115	0.3796	0.2431	0.0115	0.3913	0.2776	0.0116
193	0.3697	0.2531	0.0115	0.3799	0.2430	0.0115	0.3911	0.2778	0.0116
194	0.3696	0.2528	0.0115	0.3801	0.2429	0.0115	0.3913	0.2777	0.0116
